question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,predicted_answer,gpt4_answer
Scammon's growth curve. False is,,3,Neural tissues-Most of the growth is completed by 6 years,Lymphoid tissues — growth reaches 200%  by age 13 and regresses afterwards,Genital tissues — most of the growth is completed by the age of puberty,None of the above,Dental,,0ada062a-c400-4012-af5e-31144ba41401,multi,Genital tissues — most of the growth is completed by the age of puberty,Nan,True
The transport of CO is diffusion limited because,,1,Binds avidly with Hb,Partial pressure of CO is less,CO is less absorbed in water,Alveolar membrane is less permeable,Physiology,,c0ed32bb-dbf2-4184-91f0-ee93c27f119f,single,Binds avidly with Hb,The affinity of Hb for CO is 200 times that for O2,O2 binding reduces its diffusion rate.
Acetazolamide is given to a patient of angle closure glaucoma. It is a non-competitive inhibitor of carbonic anhydrase enzyme. Which of the following should be the effect of this drug?,"* Enzyme inhibition is of 3 types: Type of inhibition Km Vmax Competitive inhibition Increases No change Non competitive inhibition No change Decreases Uncompetitive inhibition Decreases Decreases * In question non competitive inhibitor is given, so answer is decrease in Vmax.",1,Decrease in Vmax,A.Decrease in Km,Increase in both Km and Vmax,No change in Vmax,Pharmacology,AIIMS 2018,81ba27b9-0517-444f-b592-db6a7f23c69c,multi,Decrease in Vmax,Decrease in Vmax,Decrease aqueous humor production.
All are true about rapid sequence induction done in a cardiac patient in emergency except:,"Ans: D. Induction should be done with thiopentone sodium and succinylcholine for muscle relaxation(Ref Miller 7/e p34, 887)Thiopentone induction is contraindicated in cardiac patients because of direct negative inotropic effects on the hea and depressant effects on systemic BR.Etomidate is the preferred induction agent in such a patient.",4,Inducing agent and neuromuscular relaxant are administered together,The patient is pre-oxygenated for 3 minutes before the procedure,Cricoid pressure has to be applied till the endotracheal tube has been secured with a cuff,Induction should be done with thiopentone sodium and succinylcholine for muscle relaxation,Anaesthesia,,b28a6de3-cbe2-44a2-b75c-607baefacc05,multi,Induction should be done with thiopentone sodium and succinylcholine for muscle relaxation,Induction should be done with thiopentone sodium and succinylcholine for muscle relaxation,Use of succinylcholine is contraindicated.
"A 25-year-old lady presents with sudden severe bilateral loss of vision, more so on the right side, with no perception of light. Rest of the examination including pupillary reflexes, fundus and optokinetic nystagmus are normal. She was able to touch the tips of her fingers with her right eye closed but not with her left eye closed. The most like1 tgnosis is:","Ans. d. Functional vision loss (Ref Kanski 6/e p 477, 790, 792-793)The most likely diagnosis in this young lady who presents with sudden severe bilateral loss of vision, more so on the right side, with no perception of light and normal examination findings including pupillary reflexes, fundus and optokinetic nystagmus, who is able to touch tips of her finger with right eye closed but not with left eye closed, is functional vision loss.",4,Optic neuritis,Anterior ischemic optic neuropathy,CMV retinitis,Functional vision loss,Ophthalmology,,b0060b73-4e6b-4537-a556-c1fb94a65c4a,single,Functional vision loss,Functional vision loss,Functional (psychogenic) visual loss.
"A 60-year old male presents with painful, 141 oupet. vesicles over erythematous plaques in T3 dermatome region of trunk. Which of the following would be the most likely causative organism?","Ans. a. Varicella zosterA 60-year-old male presents with painful, grouped vesicles over erythematous plaques in T dermatome region of trunk. Varicella zoster is the most likely causative organism.",1,Varicella zoster,Herpes simplex,Pox virus,Papilloma virus,ENT,,624cf635-1421-416e-978a-996781f350c0,single,Varicella zoster,Varicella zoster,Varicella-zoster virus
"A patient is administered 200 mg of a drug. 75 mg of the drug is eliminated from the body in 90 minutes. If the drug follows first order kinetics, how much drug will remain after 6 hours?",Answer- C. 30 mgDrug remains in the body at the end of 4th 90 minutes (6 hours) : 48.7 -18.3 = 30.4 (Approx. 30 mg),3,12.5 mg,25 mg,30 mg,50 mg,Pharmacology,,e7278113-c555-4128-a8df-cbd10ca7833f,single,30 mg,30 mg,27.34 mg
The most common side effect of the oral administration of ampicillin is,,2,Anaphylactic shock,Diarrhoea,Oral candidiasis,Renal failure,Pharmacology,,bfc8d03e-6a47-44af-8883-a2786a23da19,single,Diarrhoea,Diarrhea,Diarrhea.
Adverse effects of salbutamol are all except,Salbutamol is a beta 2 agonist. Adverse effects of beta 2 agonists: Tremors Tachycardia Tolerance Hypokalemia (by enhancing potassium uptake into muscles) Hypoxia Hyperglycemia (by stimulating glycogenolysis and gluconeogenesis) Note: Tolerance occurs to only long acting beta 2 agonists .,3,Tremors,Tachycardia,Hypoglycemia,Hypokalemia,Pharmacology,AIIMS 2018,a5d733b4-18d3-468c-8aaa-bbcb66cbb07e,multi,Hypoglycemia,Bronchospasm,Hypotension
Most common extraradicular microorganism is/ are:,,4,Actinomyces species.,Propioni bacterium.,Propionicum.,All of the above.,Dental,,32cf44b6-600a-4ea1-ab8a-15696485643e,multi,All of the above.,,Enterococcus faecalis
Ludwig's angina is characterized by,,1,Raised tongue,Elevation of ear lobe,Trismus,Unilateral swelling,Surgery,,0545a2b0-b535-46ee-843b-a8adf5c97c40,single,Raised tongue,Submandibular space infection,Cellulitis of the submandibular space.
Least condensation pressure is required in:,"A spherical amalgam contains small, round alloy particles that are mixed with mercury to form the mass that is placed into the tooth preparation. Because of the shape of the particles, the material is condensed into the tooth preparation with little condensation pressure. This advantage is combined with its high early strength to provide a material that is well suited for very large amalgam restorations, such as complex amalgams or foundations.
Sturdevant ed 4 pg 654",1,"Spherical amalgam alloy, high copper","Admixed amalgam alloy, high copper","Admixed amalgam alloy, low copper",Lathe cut alloy,Dental,,b21a38b8-c966-425a-a140-9ff775745931,multi,"Spherical amalgam alloy, high copper",Spherical amalgam,Ammonia refrigeration system
Denominator in perinatal moality rate,"Ans: A. Total bihs* PERINATAL MOALITY RATE is the sum of the number of resident fetal deaths of 28 or more weeks gestation plus the number of resident newborns dying under 7 days of age in a specified geographic area (country, state, county, etc.) divided by TOTAL BIHS includes the sum of the number of resident live bihs plus the number of resident fetal deaths of 28 or more weeks gestation for the same geographic area (for a specified time period, usually a calendar year) and multiplied by 1,000.",1,Total bihs,Total live bihs,Live bihs + Still bih,Total number of newborns,Social & Preventive Medicine,,6506849d-8885-4adf-88b7-4e010e026d6c,single,Total bihs,Total bihs,Births
A child spends 8 years of life in a temperate climate where the drinking water had fluoride of 3 ppm. The teeth that are effected are:,"Enamel fluorosis is a developmental phenomenon due to excessive fluoride ingestion during amelogenesis. Once the crowns of the teeth are formed, no further fluorosis can be induced by additional intake of fluoride or by posteruptive topical applications of fluoride.",2,All primary teeth,"All permanent teeth, except third molars","Incisors, canines, premolars and third molars",Only molars,Dental,,769b87a2-ecb8-4508-82d5-4fde94fa7f60,multi,"All permanent teeth, except third molars",Permanent teeth,Permanent teeth.
The ideal instrument that is used to widen the canal is,,2,Broach,File,Fissure bur,Reamer,Dental,,2cc9a274-380c-4a8e-b2b6-6c8ae412c55b,single,File,Nan,Reamer.
"According to instrument formula given by G.V. Black, primary cutting edge angle should be:","The second number of a four-number code indicates the primary cutting edge angle, measured from a line parallel to the long axis of the instrument handle in clockwise centigrade.
The centigrade angle is expressed as a percent of 360 degrees (e.g., 85 = 85% × 360 degrees = 306 degrees). The instrument is positioned so that this number always exceeds 50.

Sturdevants operative dentistry 7th edition page e2",1,More than 50 degree,More than 90 degree,Less than 50 degree,Less than 90 degree,Dental,,1d7028cb-08b7-422e-8feb-26392e8f97dc,single,More than 50 degree,85 degrees,80° to 100°
Which of the following is not true for incubation period?,,1,For determining isolation period of a disease,To prevent infection among contacts,For quarantine of disease,To differentiate among secondary cases and co-primary cases,Dental,,71166b66-1d91-490c-8bf2-ff1a44fc6ba5,multi,For determining isolation period of a disease,It is the time between the first symptoms and the appearance of the rash,Varies by disease.
Treatment of ANUG utilizes all except:,,4,Debridement,Oral hygiene,Penicillin,Topical steroid,Dental,,9663a6e9-55d1-4a7e-8af9-556a6478688d,multi,Topical steroid,Nan,Antibiotics
Median rhomboid glossitis is associated with:,,4,Burning mouth syndrome,Fungal infection,Bacterial infection,Absence of filiform papillae,Pathology,,46fe2094-87db-4117-b06f-7a7bebb94646,single,Absence of filiform papillae,Nan,Candida albicans
A young male present with loose motions and intermittent abdominal pain over the past 1 year. Wet mount stool specimen showed the presence of multiple ova which are more than 100u in diameter. The causative organisms for the disease shall not include?,,4,Fasciola gigantica,Gastrodiscoides hominis,Echinostoma ilocanum,Opisthorchis viverrini,Microbiology,,e4749151-5d65-4cf3-b663-67e75d1da084,multi,Opisthorchis viverrini,Ascaris lumbricoides,Bacteria
"Concentric teeth bite mark on forearm, what to do next?",Ans: C. Complete description of injury as seenRef KSN Reddy's The Essentials of Forensic Medicine and Toxicology 33' edn; Page no. 97Impoant: The order of Bite mark investigation: C > B > A> DBite Mark InvestigationComplete description of injury as seenPhotograph: Keep scale for measuring below the mark and take photo from different angle.Swabbing of saliva: To identify or exclude assailant from secretor status who exude blood group substance in the saliva.Impression of bite mark: Plastic substance (rubber or silicone based) or plaster of Paris is laid over the bite mark that hardens and produces permanent negative cast of the lesion.Skin carrying the bite is removed and preserved in formalin during autopsy.,3,2 swab technique for saliva collection,Keep scale for measuring below the mark and take photo in the plane of bite,Complete description of injury as seen,Prepare cast using vinyl polysiloxane,Forensic Medicine,,81a24a92-4459-4999-9c49-6ee91a6182a3,single,Complete description of injury as seen,Complete description of injury as seen,"Clean wound, seek medical attention."
A patient believes he is the most impoant person in the world than anyone so his neighbors and family is trying to harm him as they are jealous of him. His wife says otherwise and says he behaves like this recently only before he was working as a school-teacher peacefully and brought to OPD. He is suffering from:,"Ans. d. Delusion of grandiosity, persecution and reference The given description suggests that the patient is having delusion of grandiosity, persecution and reference.Delusion of grandeurExaggerated conception of one's impoance, power, or identity.Delusion of persecutionFalse belief of being harassed or persecuted; often found in litigious patients who have a pathological tendency to take legal action because of imagined mistreatment.MC delusion.Delusion of referenceFalse belief that behavior of others refers to oneself or that events, objects, or other people have a paicular & unusual significance, usually of a negative natureDerived from idea of reference, in which persons falsely feel that others are talking about them (e.g., belief that people on television or radio are talking to or about the person).",4,Delusion of grandiosity,Delusion of persecution,Delusion of grandiosity and persecution,"Delusion of grandiosity, persecution and reference",Psychiatry,,36eda6ec-6654-41ba-937b-60a3052e6c49,single,"Delusion of grandiosity, persecution and reference","Delusion of grandiosity, persecution and reference",Delusions of grandeur and persecution.
Measuring variation between two different units is done through,,3,Variance,Standard deviation,Coefficient of variation,Range,Social & Preventive Medicine,,cc956481-f985-449c-ac18-22c7109b641b,single,Coefficient of variation,Nan,Relative difference.
Which of the following diseases is diagnosed with the help of the flowcytometry pattern?,"Flow cytometry can rapidly and quantitatively measure several individual cell characteristics, but is mainly used to identify cellular antigens expressed by liquidtumors , those that arise from blood forming tissues. Hyper IgM syndrome - In this disorder the affected patients make IgM antibodies but are deficient in their ability to produce IgG, IgA and IgE antibodies. There is problem in Ig class switching. Approximately 70%of individuals with hyper lgM syndrome have the X linked form of the disease , caused by mutations in the gene coding CD40L located on Xq26. In remaining patients,the disease is inherited in an autosomal recessive pattern. Most of these patients have loss of function mutation involving either CD40 or enzyme called AID. So, B-cells can be detected by flowcytometryhaving low expression of CD40. Bruton's disease -In this disease, there is defect in B-cell tyrosine kinase enzyme. This leads to hypogammaglobulinemia. Bare lymphocyte syndrome- In this disorder, There is defect in MHC-2 molecule which is required for CD4 T-cell formation. SCID - This is both X-linked and autosomal recessive disorder.",3,Bruton disease,Bare lymphocyte syndrome,Hyper IgM syndrome,Severe combined immunodeficiency disease,Pathology,AIIMS 2019,e8aa61af-a6f5-49ed-a221-93765caf901f,single,Hyper IgM syndrome,Hyper IgM syndrome,Leukemia
