question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,chosen_answer,bert_score_f1,opa_score,opb_score,opc_score,opd_score,chosen_op
Maximum level of alpha fetoprotein is seen in:,"Alpha fetoprotein is the most abundant protein in the fetal serum throughout fetal development.
It is transferred from fetus to amniotic fluid when fetus passes urine.
The concentration of AFP in amniotic fluid is approximately 100 folds less than in fetal serum, peaks at 13-14 weeks and then decreases in the second trimester (by 10% per week).
AFP reaches the maternal serum by diffusion across the amniotic membranes and via the placenta.
The level of AFP in maternal serum is less than fetal serum as is suggested by:

“Fetal serum contains AFP in a concentration 150 times that of maternal serum”.
COGDT 10/e, p 185
“Ordinarily high level of fetoprotein are found in developing fetus and low levels exist in maternal serum and amniotic fluid”.
Mannual of Laboratory and Diagnostic Test Fishback 7/e, p 995",1,Fetal serum,Placenta,Amniotic fluid,Maternal serum,Gynaecology & Obstetrics,,065b4850-1738-4a30-9c3f-1fb89d9c0123,single,Fetal serum,Fetal serum,1.0000001192092896,1.0000001192092896,0.7266246676445007,0.7524574398994446,0.9334224462509156,1
Anthracis causes which pulmonary manifestations-,"Answer- B. Hemorrhagic mediastinitisA low-grade fever and a nonproductive cough. Substernal discomfo early in the illness. Inhalational anthrax progresses rapidly, causing hemorrhagic mediastinitisHigh feverSevere shoness of breathTachypneaCyanosisProfuse diaphoresisHematemesis",2,Atypical pneumonia,Hemorrhagic mediastinitis,Lung abscess,Bronchopulmonary pneumonia,Medicine,,3e2e85ff-abd6-4b35-bab8-b5fe0b78bdd9,single,Hemorrhagic mediastinitis,Hemorrhagic mediastinitis,0.9999999403953552,0.7547720670700073,0.9999999403953552,0.7555539608001709,0.7648348808288574,2
Which of the following vaccine is not included in EPI schedule,,2,DPT,MMR,BCG,OPV,Dental,,fedcc613-e577-40ff-a801-5d57fba1548e,single,MMR,DPT,0.7245041131973267,1.0,0.7245041131973267,0.7919410467147827,0.7685127258300781,1
Vasopressin antagonist acts on which pa of the nephron?,Answer- D (Medullary collecting duct)'The mechanism by which vasopressin exes its anti-diuretic effect is activated by V2 receptors and involves the inseion of aquaporin-2 into the apical (luminal) membranes at the principle cells of the collecting duct.',4,Proximal convoluted tubule,Distal convoluted tubule,Coical collecting tubule,Medullary collecting duct,Pharmacology,,07c14e46-ad2b-4fde-8652-bd47b36e69ab,single,Medullary collecting duct,Medullary collecting duct,0.9999999403953552,0.7629066109657288,0.7519175410270691,0.8022332191467285,0.9999999403953552,4
Which of the following anti-tubercular drug can cause ophthalmological toxicity?,"Ethambutol side effect: causes Red Green color blindness (Ophthalmological toxicity) Isoniazid side effects: Neurotoxicity, Hepatotoxicity. Pyrazinamide side effects: Hyperuricemia (gouty ahritis). Rifampicin side effects: Hepatotoxicity, orange red urine and tears etc.",3,Isoniazid,Rifampicin,Ethambutol,Pyrazinamide,Pharmacology,AIIMS 2018,604ef1a2-7595-4718-9f8c-12292063e19f,single,Ethambutol,Ethambutol,1.0,0.7237075567245483,0.7662418484687805,1.0,0.7784402966499329,3
"Compared to unfractionated heparin, Low molecular weight heparin (LMWH) has reliable anticoagulant action because:","Answer- B. It is less protein boundCompared to unfractionated heparin, Low molecular weight heparin (LMWH) has reliable anticoagulant action because it is less protein bound.Indications of LMW heparins:Prophylaxis of DVT and pulmonary embolism in high-risk patients undergoing surgery stroke or other immobilized patientsTreatment of established DVTUnstable anginaTo maintain patency of cannulae and shunts in dialysis patients and in extracorporeal circulation.",2,It interferes with thrombin and antithrombin III simultaneously,It is less protein bound,It is given subcutaneously,It is cleared by macrophages,Pharmacology,,7a3a771f-2b56-4af8-b967-3c991b394bc6,single,It is less protein bound,It is less protein bound,1.0,0.7432544231414795,1.0,0.7678894996643066,0.7639850974082947,2
Rake angle for tungsten carbide burs:,,4,Positive.,Neutral.,Slight negative.,Both BC,Dental,,8abb6456-0bb3-4f01-83e4-138e341b3cd1,multi,Both BC,Neutral,0.7164623141288757,0.7586760520935059,0.8765187859535217,0.7399590611457825,0.7164623141288757,2
You went to a sub center as pa of an audit. How many infants should be registered with a health worker working there?,"Ans: B. 100Ref: K Park, 23d ed., pg. 524, 567Estimated no. of infants in a health sub centre covering 5000 population can be calculated as follows:No. of live bih = Bih rate x Population/ 1000= 20.4 x 5000/1000 = 102Infant moality for sub centre = No. of live bih x IMR/1000= 102 x 34/1000= 3.5 (for calculation purpose we assume it 4)Therefore, total number of infants = 102 -- 4= 98Hence correct answer is 100 (nearest value).",2,50,100,150,200,Social & Preventive Medicine,,ae3aa91a-4bfb-42a5-b8f6-7f8217e18fb0,single,100,100,1.000000238418579,0.8117742538452148,1.000000238418579,0.8423658609390259,0.8930671215057373,2
Dr Bernhard Giesenhagen gave which of the following,,1,Bone ring technique,Bone flap technique,Overlap technique,Bone pouch technique,Dental,,01024fa5-94ba-4fa4-b322-6e9733f3553f,single,Bone ring technique,Bone ring technique,1.0,1.0,0.9357140064239502,0.8265785574913025,0.9312440156936646,1
Modification spaces are:,,1,Spaces other than the original class,Space posterior to all teeth,Space anterior to all teeth,Additional space in class IV,Dental,,99d8d535-2f50-4aeb-8e2e-f798f1aca579,multi,Spaces other than the original class,Option 1,0.6303819417953491,0.6303819417953491,0.6194148063659668,0.629042387008667,0.718914806842804,4
What is the nerve supply of the angle of the jaw?,"Ans: D. Greater auricular nerve(Ref: Gray's 41Ie p407, 413, 40Ie p435)The skin over the angle of mandible is supplied by the greater auricular nerve, which carries branches from anterior ramus of C2 and C3. Branches of Upper Cervical Spinal NervesGreat auricular nerveBranches from anterior rami of 2"" & 3rd cervical spinal nervesdegInnervates skin over the angle of mandible, parotid gland & earlobedegLesser occipital nerveBranches from anterior rami of 2"" & 3rd cervical spinal nervesdegInnervates scalp behind the eardeg.Greater occipital nerveBranching off the posterior ramus of the 2"" cervical spinal nervesdegInnervates scalp of occipital areadeg3rd occipital nerve:Branches off the posterior ramus of 3rd cervical nervedegInnervates scalp in occipital & sub occipital areasdeg.",4,Mandibular nerve,Maxillary nerve,Lesser occipital nerve,Greater auricular nerve,Anatomy,,464d6db1-cbf6-44c5-89b0-1599071e3a72,single,Greater auricular nerve,Greater auricular nerve,0.9999998807907104,0.8214840292930603,0.8544861078262329,0.860234260559082,0.9999998807907104,4
A child has received full Rabies vaccination in December 2018 and now presented with oozing wound on Great toe and the pet had vaccination also. Next line of management is,"According to NRCP 2015,National Rabies prophylaxis Guidelines (NRPG) says even the pet is vaccinated, no chance is taken, Rabies is 100% Fatal disease. So, Pet's vaccination status is not so relevant in India guidelines Post exposure prophylaxis. 2 IM doses of Rabies vaccine on Day 0,3. Day 0 3 7 14 28 ESSEN Regimen IM 1 1 1 1 1 THAI updated ID Red close R. 2 2 2 0 2 All these vaccinations come under primary level prevention & specific protection. New Recommended Regimens/ Schedules { NEW GUIDELINES} Type of prophylaxis Regimen POST EXPOSURE INTRAMUSCULAR Essen Regimen (1-1-1-1-1) Day 0,3,7,14,28 POST EXPOSURE INTRADERMAL Updated Thai Red Cross Regimen (2-2-2-0-2) Day 0,3,7,28 POST-EXPOSURE IN VACCINATED INDIVIDUALS Day 0,3 PRE-EXPOSURE PROPHYLAXIS Day 0,7,21/28",4,No vaccine required,RIG + 5 doses of vaccine,5 doses of vaccines only,2 doses of Rabies vaccine,Social & Preventive Medicine,AIIMS 2019,007d53f1-6364-4482-b62e-5b51134a222c,single,2 doses of Rabies vaccine,Option 4: 2 doses of Rabies vaccine,0.9306299090385436,0.7681142687797546,0.8574324250221252,0.8421712517738342,0.9306299090385436,4
All of the following are typically associated with the loss of 40% of the circulating blood volume except,,3,A decrease in the blood pressure,A decrease in the central venous pressure,A decrease in the heart rate,A decrease in the urine output,Pathology,,d8ca247a-27e4-4f88-b2f8-10492994b912,multi,A decrease in the heart rate,All of the above,0.5854323506355286,0.601642370223999,0.6092162132263184,0.5854323506355286,0.6192856431007385,4
Disappearance of nuclear chromatin is called as,,2,Pyknosis,Karyolysis,Karyorhexis,,Pathology,,9ebdc9e8-773b-4c70-bfba-363125f478eb,multi,Karyolysis,Pyknosis,0.7248112559318542,0.9999998807907104,0.7248112559318542,0.7189823985099792,0.6408894658088684,1
Biomineralization is a process by which inorganic `metals' are incorporated in the body and made a pa of biological structures. Example of Biomineralization is seen in:,"Ans. d. Mollusc shell (Ref en.wilkipedia.org/wiki/Biomineralization)The mollusc shell is a biogenic composite material that has been the subject of much interest in materials science because of its unusual propeies and its model character for biomineralization.Biomineralization is the process by which, living organisms produce minerals, often to harden or stiffen existing tissues. Such tissues are called mineralized tissues.",4,Pinna (anatomy),Hooves of cattle,Honeycomb,Mollusc shell,Physiology,,0150cd44-7abc-4723-8a8a-c17de3f20004,single,Mollusc shell,Mollusc shell,1.0,0.5898469090461731,0.5606299638748169,0.5848780274391174,1.0,4
There was an outbreak of MRSA in the hospital and it was found that a nurse of NICU had MRSA colonisation of anterior nares. What is the best treatment?,"Ans. A. Topical bacitracinMRSA (methicillin-resistant Staphylococcus aureus) infection is a life-threatening bacterial infection caused by Staphylococcus aureus that is resistant to the antibiotic methicillin. Severe cases usually require hospitalization for treatment.MRSA infections are usually treated with systemic antibiotics, either orally or intravenously.Topical bacitracin in combination with neomycin and polymyxin B might be added to the therapy.",1,Topical bacitracin,Oral Vancomycin,Inhaled colistin,IV cefazolin,Pharmacology,,49b456da-591f-4221-b56b-9a04eaa21b77,single,Topical bacitracin,Topical bacitracin,1.0,1.0,0.8010985255241394,0.8047709465026855,0.7865341305732727,1
What is the location of Meissner's corpuscles?,Ans. d. Papillary dermisMeissner corpuscles are encapsulated nerve endings present in dermal papillae.Merkel cells location: Stratum basalePacinian corpuscle location: Reticular layer of dermis,4,Lucidum,Basale,Reticular dermis,Papillary dermis,Anatomy,,8cc0f461-86ab-4fdf-97f4-194da3dc5e26,single,Papillary dermis,Papillary dermis,0.9999997615814208,0.6890313029289246,0.6648327708244324,0.8555614352226257,0.9999997615814208,4
All are signs of impending Eisenmenger except –,"Eisenmenger syndrome refers to patients with a VSD in which blood is shunted from right to left as a result of development of pulmonary vascular resistance. Initially shunt is from left to right as the systemic vascular pressure is greater than pulmonary vascular pressure. With time pulmonary vascular resistance increases due to change in pulmonary vessel wall as a result of increased flow in pulmonary vessels. When pulmonary vascular pressure exceeds the systemic vascular resistance, reversal of shunt into right to left shunt occurs.
This development of right to left shunt due to reversal of left to right shunt as a result of development of pulmonary vascular resistance and pulmonary hypertension is called Eisenmenger syndrome.",1,Increased flow murmur across tricuspid & pulmonary valve,Single S2,Loud P2,Graham steel murmur,Pediatrics,,84fe7359-1ad3-4031-bf62-e4474bb33a86,multi,Increased flow murmur across tricuspid & pulmonary valve,Increased flow murmur across tricuspid & pulmonary valve,0.9999999403953552,0.9999999403953552,0.6113825440406799,0.6584522128105164,0.6870390176773071,1
Spiral angle can be defined as:,,1,Angle between long axis and blade.,Angle between long axis and cutting edge.,Angle formed by the blades.,All are same.,Dental,,e8e4c8af-c2cb-4b44-8865-ff068bdbd6b5,multi,Angle between long axis and blade.,Option 4: All are same,0.6662299036979675,0.6662299036979675,0.664419949054718,0.670834481716156,0.8233774304389954,4
G-protein coupled receptor that does not act through opening of potassium channels is,"* DGPCR which act through opening of K+ channels lead to hyper polarisation, thus leading to inhibition.So, receptor which causes stimulation will not act through opening of K+ channels. o Muscarinic M2 receptor, Dopamine D2 receptor and serotonin 5HT1 receptor act through opening of K+ channels.o Whereas Angiotensin 1 receptor act by increasing Ca+2.",4,Muscarinic M2 receptor,Dopamine D2 receptor,Serotonin 5 HT 1 receptor,Angiotensin 1 receptor,Pharmacology,AIIMS 2019,a97ea051-7425-4f6f-b909-c32f3801a91f,single,Angiotensin 1 receptor,Angiotensin 1 receptor,1.0000001192092896,0.7707998752593994,0.7774249911308289,0.8338534235954285,1.0000001192092896,4
Which of these is not a non-contraceptive use of levonorgestrel?,"Ans: B. Premenstrual tension(Ref Williams 24/e p701: Goodman Gilman 12/e p1184, 1190)Pre-menstrual tension is not a non-contraceptive use of levonorgestrel.Therapeutic Uses - Levonorgestrel:Emergency contraception:Useful within 120 hours as emergency bih control.Idiopathic menorrhagia:Excessively heavy, regular menses in the absence of intracavitary pathology or coagulopathy.Menometrorrhagia:Excessive bleeding in amount prolonged in duration (regular or irregular intervals).An alternative delivery system - Protect against endometrial hyperplasia in women taking SERM.Management of recurrent pelvic pain secondary to multi- treated endometriosis.LNG-IUS is licensed for use in menorrhagia & to provide endometrial protection to perimenopausal & postmenopausal women on estrogen replacement therapy.LNG-IUS beneficial in endometriosis, adenomyosis, fibroids, endometrial hyperplasia & early stage endometrial cancere (where the patient is deemed unfit for primary surgical therapy).",2,Endometriosis,Premenstrual tension,Complex endometrial hJperplasia,Emergencycontraception,Gynaecology & Obstetrics,,9ccd0247-2723-4707-b569-ca0402842cd9,single,Premenstrual tension,Premenstrual tension,0.9999999403953552,0.719916820526123,0.9999999403953552,0.7297741770744324,0.7470309138298035,2
